label,x0,y0,z0,x1,y1,z1,x2,y2,z2,x3,y3,z3,x4,y4,z4,x5,y5,z5,x6,y6,z6,x7,y7,z7,x8,y8,z8,x9,y9,z9,x10,y10,z10,x11,y11,z11,x12,y12,z12,x13,y13,z13,x14,y14,z14,x15,y15,z15,x16,y16,z16,x17,y17,z17,x18,y18,z18,x19,y19,z19,x20,y20,z20
A,0.0,0.0,0.0,-0.3192298894172594,-0.1824304656872929,-0.12064367973270136,-0.5669892169154279,-0.6332743837756569,-0.15794397318914266,-0.6361135586786432,-1.0562116311693317,-0.19517056108387756,-0.6627519912512205,-1.3869655260521008,-0.2088156469390465,-0.39126320738925,-0.986765918219054,-0.032795267126102916,-0.5004200918248387,-1.162659708899517,-0.2095854304057121,-0.4294840395158379,-0.8038746145333259,-0.2957145720909993,-0.3474806778334852,-0.5518306547414702,-0.32103173656109407,-0.18032094529015377,-0.9827791636768233,-0.04036672060434347,-0.2981763761090533,-1.2156474554064907,-0.24915665977893006,-0.26213432248457047,-0.7811256356555123,-0.29066860989345844,-0.19594448736882408,-0.5059168767556357,-0.2594122234220194,0.029227191896039787,-0.9227974349699358,-0.07864313745267427,-0.07087046080959183,-1.136104929253722,-0.2947427179180801,-0.08727200226737959,-0.6917218417572398,-0.245517876289076,-0.06626045122277048,-0.41597368443986377,-0.1432382368014769,0.23543369341772946,-0.8260331341162533,-0.12568754551456487,0.13719134312395023,-1.0074363391466543,-0.2622723115567013,0.07862193655754487,-0.7061303793944782,-0.21411749067439528,0.07202639216149401,-0.5008408008624553,-0.13496916705657064
A,0.0,0.0,0.0,-0.3318584959683034,-0.18769978783702368,-0.11356717624151362,-0.5798158693140681,-0.6463473412422022,-0.149319912557601,-0.6517046411316044,-1.070761619572853,-0.18640780945244284,-0.6677677220839605,-1.3972015745694588,-0.19894767344288664,-0.3869343160269532,-0.9899460676406909,-0.03297452216427358,-0.4831015724995269,-1.1802527658688695,-0.20566099087392797,-0.4131908526452312,-0.8211774031220864,-0.28696983097525425,-0.33795152872295176,-0.5621344840133273,-0.3087280701193109,-0.17395672905144619,-0.9839046873645959,-0.040873250417586306,-0.27959234677556294,-1.2172411897486115,-0.24294043237673804,-0.24659411185896268,-0.787457293322291,-0.27978497470798963,-0.1866484009361745,-0.5182543736759955,-0.24763071189522975,0.03308376246238895,-0.9220558135734885,-0.07853117930643468,-0.058694013190476436,-1.1375577929561203,-0.28205157715355456,-0.07848629111068284,-0.7065753910518247,-0.22986941573081932,-0.05788213141375892,-0.4375034923267374,-0.12951962080433993,0.2356994982931136,-0.8244782624629098,-0.12490657503934889,0.14086428785282337,-1.0065984627792508,-0.24828200205671638,0.07354753027514016,-0.7185202716815896,-0.19861058502848009,0.06132996935209155,-0.520514904505687,-0.12195018803771163
A,0.0,0.0,0.0,-0.32936103054998034,-0.15783422222345292,-0.12622458544183174,-0.5818209805069092,-0.611898203178778,-0.16711037289939537,-0.663522320264596,-1.0364700621116214,-0.20643162283131533,-0.6972564569640952,-1.3737812159246234,-0.22094024459982728,-0.4049549713944009,-0.9775761778609457,-0.03941247089128861,-0.4870251637488923,-1.164498420797753,-0.2175080061442929,-0.4161383247579687,-0.8052394884060531,-0.3018244821387771,-0.3435473783772568,-0.5493668476425861,-0.3247712190160074,-0.19196966271522853,-0.9803825068900289,-0.04469663053322604,-0.28561611967501105,-1.2190527969091536,-0.2472626226698001,-0.2484080265499368,-0.7874566529151278,-0.28352866947977956,-0.19135183111868462,-0.5125085839997298,-0.2494632368472003,0.01948372573633487,-0.9309039453530873,-0.08219927595599037,-0.05595803019139114,-1.1281575578964895,-0.2922516941952922,-0.06721244048297437,-0.6918094119035082,-0.24405264692807785,-0.05194709040626624,-0.4240464852682252,-0.14466273925510442,0.23507002570772687,-0.844892751134746,-0.1288962315190195,0.15906233212104304,-1.0261691854387025,-0.2583987679365072,0.09976588519550803,-0.7238850407378906,-0.21127449167448742,0.07755569953618607,-0.5172130282122183,-0.13537444129088608
A,0.0,0.0,0.0,-0.336375690800531,-0.1501385231332797,-0.09714072126559256,-0.585906346391165,-0.5960012509901266,-0.11970794267620909,-0.6687795562854878,-1.028805178171987,-0.1477058303698668,-0.6948540894879571,-1.354689804710502,-0.15452454435291565,-0.41729118421488554,-0.9683973234253371,0.016941645070637706,-0.4783410908292438,-1.1573746346835352,-0.1418237644775493,-0.41645256663021063,-0.8147726356335687,-0.22334762912238484,-0.3504492847010751,-0.573642153037623,-0.24760983448970147,-0.2182404351374973,-0.9758826347554727,0.00491890777638091,-0.2836910988989751,-1.1940280507925398,-0.1780090668348771,-0.24696675493455028,-0.7647785916593499,-0.2141177213484443,-0.19483976095520725,-0.5111430032597629,-0.18453834940790456,-0.021468125651019365,-0.9234791971043398,-0.0377517478538142,-0.07246982968886548,-1.1314515129371339,-0.22899504090478728,-0.08359931194364414,-0.7004979010424042,-0.17920755580363532,-0.06705791319113406,-0.443694515805954,-0.0839962301182191,0.178654347359408,-0.8359137125394813,-0.08785516136979948,0.11749219438561802,-1.024007655715989,-0.19782951619747005,0.06625146212912598,-0.721548400250598,-0.1443658955309495,0.05262295061544112,-0.5242525435960274,-0.06817194546276323
A,0.0,0.0,0.0,-0.35020464409589863,-0.14974620386182613,-0.09945409786362149,-0.6134554842046988,-0.5863390359168937,-0.12432698190876806,-0.694818696825999,-1.0519999675648968,-0.1528288848455614,-0.7227008338428768,-1.395378780054997,-0.16154137105630376,-0.4590358459354784,-0.9452335806275611,-0.012076441592620406,-0.5090250739597167,-1.1603182643203542,-0.16968980641081963,-0.4278455081515791,-0.8251713125195248,-0.24431557755303795,-0.35398582965371195,-0.573655961542461,-0.2650223616100339,-0.2357012600043207,-0.971550613260562,-0.0231154040717767,-0.2993144157243848,-1.2169159502114972,-0.20747956445727347,-0.24750797286344914,-0.7776280607817412,-0.2369114402476528,-0.1890975152036693,-0.5027501154741931,-0.20295884368465178,-0.023789263502707277,-0.9327109279377934,-0.06262081540343577,-0.07221170416274274,-1.1470923278119982,-0.2541271004060049,-0.0706108532767436,-0.7057917285508879,-0.19842873188181154,-0.051925732506435625,-0.430532083305425,-0.10017292400551964,0.18516768882347223,-0.8550364042755949,-0.10941179597279473,0.13085347063851474,-1.0523900824044412,-0.2233103337650463,0.08272319536305607,-0.740799469629214,-0.16883268136064036,0.06465229509248974,-0.5309543076062357,-0.09283919418206862
A,0.0,0.0,0.0,-0.36252502106044215,-0.18777414676960238,-0.12558378461572756,-0.6041125838172512,-0.6334241682544629,-0.16225847245031438,-0.668494763225517,-1.0849924043413286,-0.19816005773584228,-0.7141739904387888,-1.417207357528544,-0.21108748909435454,-0.43355227521155787,-0.958298240843852,-0.04740073815684797,-0.4729402295677006,-1.1723304136138244,-0.2232000166652975,-0.40353051044643495,-0.8050365255490879,-0.29988610076647787,-0.3376954244058909,-0.55357532718502,-0.3190415098383244,-0.2137956042036097,-0.975565779868913,-0.05062458663508263,-0.2693277189641497,-1.2451257957400155,-0.26052055567120724,-0.23081877718878227,-0.7930727602121946,-0.2908940542964638,-0.17259972085535086,-0.5299100628381728,-0.25349270973338506,-0.005820847889108331,-0.9295433282122685,-0.08467805203777745,-0.03744007766526696,-1.1769502471675983,-0.2943987474298644,-0.04888242933769224,-0.7313311443603708,-0.23236069197582288,-0.03178168844196685,-0.46333794603914147,-0.12498759996055844,0.1979999569637593,-0.8463871378937468,-0.12831981636977305,0.16848102753487748,-1.0736531149276798,-0.2481569494527318,0.11908871123271206,-0.7761950948634263,-0.18940515616719056,0.10330581116697349,-0.5811560081077275,-0.10837734557615332
A,0.0,0.0,0.0,-0.3560013780825161,-0.19377956656435874,-0.09688289350729676,-0.563695727456309,-0.6028829539901631,-0.10831001966094744,-0.5982914026741698,-1.0355765821541005,-0.12524528861546366,-0.6236950448358839,-1.34480906625032,-0.11711694459140813,-0.40140207855556914,-0.9764988057499941,0.051938307655691865,-0.3816823887122634,-1.145832649473583,-0.1134041699954839,-0.333505902282605,-0.78578775919302,-0.1934008001378215,-0.29361133362335934,-0.5225627190936764,-0.2112800182093109,-0.18813698312257474,-0.9811093998822112,0.0450424360387325,-0.18814276163232543,-1.2092713621227233,-0.15533583571216789,-0.16881285853765723,-0.741271433371357,-0.19566778174438995,-0.1351018206307206,-0.4920492983551455,-0.1605100807883908,0.008950911603822406,-0.9190828762182799,0.005098449424561037,0.029666606400520257,-1.1296198584001123,-0.20299422621076987,-0.0033189658731703716,-0.6851403029508024,-0.14708259707963717,-0.013092264478329944,-0.44750801987774086,-0.03882181470300489,0.19748845051593378,-0.820018731647752,-0.04172248705997493,0.21121398713103276,-1.0359510689848757,-0.15187206235459166,0.15398231326250542,-0.7324463356843792,-0.08625076389044053,0.11442815135948234,-0.5625194067327419,0.0024699908422670734
A,0.0,0.0,0.0,-0.3227493643718071,-0.2028758267144481,-0.15246670587618266,-0.546038786584531,-0.6370590990695658,-0.19575887287009208,-0.6022968197938084,-1.0842671365418832,-0.23134074477127922,-0.6168372767874925,-1.415260672002252,-0.23916166794923918,-0.3770674191899272,-0.9715024752134362,-0.047125215869868495,-0.363387596434155,-1.169250747132826,-0.22412680191441275,-0.2974184141410958,-0.8124007947885454,-0.30009211284698706,-0.2548927369515678,-0.5559335340653758,-0.3166869621964216,-0.16021787827097747,-0.9866169117214424,-0.030286977194655746,-0.15467159851852946,-1.2365326579648863,-0.25561102897034405,-0.13428922814909725,-0.780889279248233,-0.29832182895968457,-0.11198108481193011,-0.5139007582659194,-0.2630127916472718,0.040475271733275864,-0.9345312525954955,-0.04567210407658004,0.06779900164597867,-1.1580320139849847,-0.27363647166915717,0.03059097729985503,-0.7272865881115165,-0.22505687185997303,0.009021515980652746,-0.46906830793139326,-0.11867904763512688,0.22618572042975152,-0.8488791160164145,-0.07116889173715676,0.25233736889667774,-1.0553711610858634,-0.20611348743088007,0.19071826249315757,-0.7657642556793743,-0.15647394191222774,0.14512957438153137,-0.5842119756428068,-0.07551960419048123
A,0.0,0.0,0.0,-0.3182059200108475,-0.1756541548885072,-0.16569565617546,-0.5603154149163747,-0.6123197124765006,-0.21480857618526106,-0.6165486910955758,-1.0561427245944273,-0.2535926259260369,-0.5955613697274679,-1.3798424847085422,-0.264054598078204,-0.37028873545547936,-0.9762655159616233,-0.06600027305112902,-0.36549324895979785,-1.1350845520809238,-0.25611787699272237,-0.2972813057586933,-0.766748714520794,-0.34339941592713613,-0.2576335257909606,-0.5078153559694364,-0.3671993792280212,-0.15397517939101382,-0.9869435462857458,-0.04726606157086804,-0.1617522016648989,-1.2031917154429776,-0.278084963550214,-0.13273193795565952,-0.739761474466178,-0.31796719175756166,-0.10812395058905193,-0.46832930140545576,-0.2795599541681544,0.04760140048697425,-0.9269925956637066,-0.06402452993511695,0.060952656602528583,-1.128106643566755,-0.29938555251896176,0.028652864324742084,-0.6875043385987778,-0.24911467794834788,0.002514180178959711,-0.42277217969648134,-0.13950423876189455,0.22665513859337558,-0.8319765761419788,-0.09254973151558092,0.250189601573188,-1.0227773133141218,-0.23728646445812465,0.182157204387848,-0.7296783578062306,-0.1905683566744518,0.12352042340955409,-0.5400134501681443,-0.10927614287664203
A,0.0,0.0,0.0,-0.28984843186506,-0.18591546396383196,-0.17051309035908743,-0.4950001872849665,-0.5969102417828595,-0.22906559300168267,-0.5436676859521726,-1.0021916886446591,-0.2735380003413535,-0.5397040826877804,-1.31565434689111,-0.29020358413085207,-0.333083016671992,-0.9807901326037491,-0.0806549113961865,-0.3089620575805377,-1.1021573036737036,-0.26954706176659077,-0.24548226899257908,-0.7509399784925485,-0.36004076577145366,-0.210700103634323,-0.49315163064392076,-0.38564918088220784,-0.12549749796648976,-0.990522373540289,-0.055819400930707246,-0.11029283837330445,-1.150000156455981,-0.2821399521400228,-0.08662933143237257,-0.7089402198799863,-0.3301128024852742,-0.06885485135659764,-0.4487205192079142,-0.30163633915796856,0.07341812403844881,-0.9288351653056366,-0.0640300920369265,0.10817189950914319,-1.0757470751111773,-0.29375339139257617,0.07278899341691644,-0.6620382508241642,-0.253371354191416,0.04168546113092389,-0.40975646984599434,-0.15510478019274432,0.2517891092973233,-0.8291005528994407,-0.08378298821732721,0.29122319877877884,-0.9908639895929772,-0.22844791207536977,0.22303095668470616,-0.7110042450544602,-0.1870965343029107,0.16143668515744905,-0.5301243704396026,-0.11066871391787092
